seq,timestamp_utc,command,operator,entry_hash
0,2026-06-09T23:17:06.568854+00:00,fetch,ridecloak-pipeline,4372c4e22d3f48c1
1,2026-06-09T23:18:04.300642+00:00,synth,ridecloak-pipeline,dededdb6601aed9d
2,2026-06-09T23:18:05.854929+00:00,validate,ridecloak-pipeline,0857135d9f62ff9a
3,2026-06-09T23:18:40.060885+00:00,classify,ridecloak-pipeline,9079fdc1b5157fc4
4,2026-06-09T23:18:41.593198+00:00,risk,ridecloak-pipeline,fee5c7ae451afbfe
5,2026-06-09T23:19:20.867415+00:00,export,ridecloak-pipeline,a71e9b0fa53578db
6,2026-06-09T23:19:22.614743+00:00,export,ridecloak-pipeline,56225f61af4504c5
7,2026-06-09T23:19:24.181236+00:00,export,ridecloak-pipeline,7cc987e8b8a99cd2
8,2026-06-10T00:25:36.240290+00:00,triage,ridecloak-pipeline,cc2e1127f0b505e6
9,2026-06-10T00:25:47.925116+00:00,triage,ridecloak-pipeline,f80dda26a813688f
10,2026-06-10T00:52:45.195910+00:00,fetch,ridecloak-pipeline,c4921c78b9455dca
11,2026-06-10T00:52:50.452863+00:00,fetch,ridecloak-pipeline,805b835bfb05f062
12,2026-06-10T00:52:56.041026+00:00,fetch,ridecloak-pipeline,83d72a8ab5eb7ecb
13,2026-06-10T00:56:00.772928+00:00,validate,ridecloak-pipeline,11a2354e07806e2c
14,2026-06-10T00:56:05.314742+00:00,risk,ridecloak-pipeline,f4376e48bf65b08c
15,2026-06-10T00:56:07.312000+00:00,export,ridecloak-pipeline,fd3eb57ff84c21c3
16,2026-06-10T00:56:12.200286+00:00,validate,ridecloak-pipeline,626757c49d3a95da
17,2026-06-10T00:56:16.562374+00:00,risk,ridecloak-pipeline,4647c13b2d29b51f
18,2026-06-10T00:56:18.533106+00:00,export,ridecloak-pipeline,c7cb209f013e8bd0
19,2026-06-10T00:56:23.937139+00:00,validate,ridecloak-pipeline,f60b98fa59d877a1
20,2026-06-10T00:56:28.658414+00:00,risk,ridecloak-pipeline,b463b73b30a2d546
21,2026-06-10T00:56:30.661355+00:00,export,ridecloak-pipeline,34ea8a3dd665e09a
22,2026-06-10T00:56:35.883759+00:00,validate,ridecloak-pipeline,7db475d6291e8436
23,2026-06-10T00:56:40.456309+00:00,risk,ridecloak-pipeline,1dea664721f70cac
24,2026-06-10T00:56:42.445454+00:00,export,ridecloak-pipeline,11ce1ffabc6d3a19
25,2026-06-10T00:56:54.055062+00:00,dashboard-extract,ridecloak-pipeline,56a7eed032fd276a
