month,scope,qi,uniqueness
2026-04,dev,zone x minute,0.998
2026-04,dev,zone x 15min,0.9712
2026-04,dev,zone x 60min,0.9042
2026-04,dev,borough x 15min,0.0537
2026-01,month,zone x minute,0.8951
2026-01,month,zone x 15min,0.4538
2026-01,month,zone x 60min,0.2145
2026-01,month,borough x 15min,0.0006
2026-02,month,zone x minute,0.8949
2026-02,month,zone x 15min,0.4515
2026-02,month,zone x 60min,0.2129
2026-02,month,borough x 15min,0.0006
2026-03,month,zone x minute,0.8986
2026-03,month,zone x 15min,0.4583
2026-03,month,zone x 60min,0.2151
2026-03,month,borough x 15min,0.0006
2026-04,month,zone x minute,0.9008
2026-04,month,zone x 15min,0.4605
2026-04,month,zone x 60min,0.216
2026-04,month,borough x 15min,0.0006
